,distrito,ano,quarter,precio
0,Arganzuela,2007,2,13.0665872953166
1,Barajas,2007,2,11.1998547051696
2,Carabanchel,2007,2,11.127661322858
3,Centro,2007,2,17.7464038079552
4,Chamartín,2007,2,14.386479507498
5,Chamberí,2007,2,14.9796763438228
6,Ciudad Lineal,2007,2,12.5966251697307
7,Fuencarral,2007,2,10.164143328771
8,Hortaleza,2007,2,12.5205347232998
9,Latina,2007,2,11.02523251347
10,Moncloa,2007,2,13.2415454859411
11,Moratalaz,2007,2,11.4986112209726
12,Puente De Vallecas,2007,2,11.6913758326212
13,Retiro,2007,2,13.7475220210882
14,Salamanca,2007,2,15.4751580447348
15,San Blas,2007,2,11.8347737932991
16,Tetuan,2007,2,12.4282313701254
17,Usera,2007,2,11.0142351276564
18,Vicálvaro,2007,2,9.59265102936488
19,Villa De Vallecas,2007,2,10.3157168881887
20,Villaverde,2007,2,10.3039812040477
21,Arganzuela,2007,4,13.999737283699
22,Barajas,2007,4,11.9582415675523
23,Carabanchel,2007,4,12.1600929262779
24,Centro,2007,4,18.0445935367462
25,Chamartín,2007,4,14.6839466995602
26,Chamberí,2007,4,16.0982213435844
27,Ciudad Lineal,2007,4,12.9384749146432
28,Fuencarral,2007,4,10.9379667886466
29,Hortaleza,2007,4,12.9064039775179
30,Latina,2007,4,11.6550670081984
31,Moncloa,2007,4,13.3590922532967
32,Moratalaz,2007,4,11.1178938769261
33,Puente De Vallecas,2007,4,12.2052788634833
34,Retiro,2007,4,14.0219478309353
35,Salamanca,2007,4,16.6115172882065
36,San Blas,2007,4,12.6563467240883
37,Tetuan,2007,4,12.7674155366752
38,Usera,2007,4,11.9071230758154
39,Vicálvaro,2007,4,10.3385908633002
40,Villa De Vallecas,2007,4,11.2820859687619
41,Villaverde,2007,4,10.92044583
42,Arganzuela,2008,2,13.5672252074436
43,Barajas,2008,2,12.0738216527753
44,Carabanchel,2008,2,11.9309674938557
45,Centro,2008,2,17.6186080820587
46,Chamartín,2008,2,14.8189432621271
47,Chamberí,2008,2,16.2554053732529
48,Ciudad Lineal,2008,2,13.2944988610468
49,Fuencarral,2008,2,11.8898784425475
50,Hortaleza,2008,2,13.1458938605389
51,Latina,2008,2,11.9094514210284
52,Moncloa,2008,2,14.1117018615716
53,Moratalaz,2008,2,11.9256846354193
54,Puente De Vallecas,2008,2,12.418159988491
55,Retiro,2008,2,14.2405585097576
56,Salamanca,2008,2,16.8815795664998
57,San Blas,2008,2,12.9878161747704
58,Tetuan,2008,2,13.0983695956028
59,Usera,2008,2,12.4188464469082
60,Vicálvaro,2008,2,10.8507311108897
61,Villa De Vallecas,2008,2,11.0872054976704
62,Villaverde,2008,2,11.2348412754786
63,Arganzuela,2008,4,13.1939529452426
64,Barajas,2008,4,11.6060721463097
65,Carabanchel,2008,4,11.2062748522771
66,Centro,2008,4,16.8580532573621
67,Chamartín,2008,4,14.6890111304801
68,Chamberí,2008,4,15.4204791446198
69,Ciudad Lineal,2008,4,12.5796109805769
70,Fuencarral,2008,4,11.373405565281
71,Hortaleza,2008,4,12.6356479528587
72,Latina,2008,4,11.3415116242568
73,Moncloa,2008,4,14.2395736229974
74,Moratalaz,2008,4,10.9662988422213
75,Puente De Vallecas,2008,4,11.8163050669002
76,Retiro,2008,4,13.9742897297516
77,Salamanca,2008,4,16.3241239885399
78,San Blas,2008,4,11.9402305675913
79,Tetuan,2008,4,12.8138030657221
80,Usera,2008,4,11.6512189243261
81,Vicálvaro,2008,4,10.7555364974229
82,Villa De Vallecas,2008,4,10.6896816225192
83,Villaverde,2008,4,10.6284438581828
84,Arganzuela,2009,2,12.710960156608
85,Barajas,2009,2,11.0246419489596
86,Carabanchel,2009,2,10.6329918053615
87,Centro,2009,2,15.7887133312236
88,Chamartín,2009,2,14.0201817145535
89,Chamberí,2009,2,15.1372461318912
90,Ciudad Lineal,2009,2,11.744553923161
91,Fuencarral,2009,2,10.9309408226494
92,Hortaleza,2009,2,12.1973385555591
93,Latina,2009,2,10.5991060119226
94,Moncloa,2009,2,13.577953948534
95,Moratalaz,2009,2,10.229013820054
96,Puente De Vallecas,2009,2,11.021227573665
97,Retiro,2009,2,13.0196473019734
98,Salamanca,2009,2,15.4014666124965
99,San Blas,2009,2,11.1207119842053
100,Tetuan,2009,2,12.2871871477106
101,Usera,2009,2,10.786221358578
102,Vicálvaro,2009,2,10.2440452096245
103,Villa De Vallecas,2009,2,10.1059481633004
104,Villaverde,2009,2,10.0379982580426
105,Arganzuela,2009,4,12.728870626135
106,Barajas,2009,4,10.8218953193634
107,Carabanchel,2009,4,10.5841258862207
108,Centro,2009,4,15.6106600981053
109,Chamartín,2009,4,13.8733236943123
110,Chamberí,2009,4,14.462549771935
111,Ciudad Lineal,2009,4,11.6381054385784
112,Fuencarral,2009,4,10.6650630371508
113,Hortaleza,2009,4,12.0716277714795
114,Latina,2009,4,10.2223198932696
115,Moncloa,2009,4,13.3874510592359
116,Moratalaz,2009,4,10.1957580750546
117,Puente De Vallecas,2009,4,10.5456411769636
118,Retiro,2009,4,12.3477768442794
119,Salamanca,2009,4,14.9411563260196
120,San Blas,2009,4,10.8429803014052
121,Tetuan,2009,4,12.0577739811559
122,Usera,2009,4,10.170432581212
123,Vicálvaro,2009,4,10.1849101780044
124,Villa De Vallecas,2009,4,10.0937524967345
125,Villaverde,2009,4,9.76476893266566
126,Arganzuela,2010,1,12.659879764109
127,Barajas,2010,1,10.763240320914
128,Carabanchel,2010,1,10.5267596052576
129,Centro,2010,1,15.5260498503783
130,Chamartín,2010,1,13.7981298622004
131,Chamberí,2010,1,14.3841623167424
132,Ciudad Lineal,2010,1,11.575026556709
133,Fuencarral,2010,1,10.6072580743929
134,Hortaleza,2010,1,12.0061991855136
135,Latina,2010,1,10.1669146116813
136,Moncloa,2010,1,13.3148906714344
137,Moratalaz,2010,1,10.1404967593208
138,Puente De Vallecas,2010,1,10.4884834842834
139,Retiro,2010,1,12.2808515220249
140,Salamanca,2010,1,14.8601748088942
141,San Blas,2010,1,10.7842110217184
142,Tetuan,2010,1,11.9924204831507
143,Usera,2010,1,10.1153085304172
144,Vicálvaro,2010,1,10.1297076581992
145,Villa De Vallecas,2010,1,10.0390440543063
146,Villaverde,2010,1,9.7118435910595
147,Arganzuela,2010,2,12.2787464399848
148,Barajas,2010,2,10.8739493788948
149,Carabanchel,2010,2,10.547752198676
150,Centro,2010,2,15.2214897418983
151,Chamartín,2010,2,13.6041598023892
152,Chamberí,2010,2,14.3946415334709
153,Ciudad Lineal,2010,2,11.6692199223791
154,Fuencarral,2010,2,10.7420667690127
155,Hortaleza,2010,2,11.8436738900339
156,Latina,2010,2,10.170713846429
157,Moncloa,2010,2,13.3489952215321
158,Moratalaz,2010,2,10.0766777212009
159,Puente De Vallecas,2010,2,10.6742365185878
160,Retiro,2010,2,12.1536667205816
161,Salamanca,2010,2,14.9859010560873
162,San Blas,2010,2,10.7495084928282
163,Tetuan,2010,2,11.6563669936923
164,Usera,2010,2,10.2348538442435
165,Vicálvaro,2010,2,9.82840191861784
166,Villa De Vallecas,2010,2,9.92218693873533
167,Villaverde,2010,2,9.5980187524935
168,Arganzuela,2010,3,12.0281457225122
169,Barajas,2010,3,10.7105982727876
170,Carabanchel,2010,3,10.2967348943035
171,Centro,2010,3,15.1597369663513
172,Chamartín,2010,3,13.6349696679803
173,Chamberí,2010,3,14.3971399258511
174,Ciudad Lineal,2010,3,11.4066868739799
175,Fuencarral,2010,3,10.6692661331621
176,Hortaleza,2010,3,11.7714561347479
177,Latina,2010,3,10.0861458144837
178,Moncloa,2010,3,13.289881916855
179,Moratalaz,2010,3,9.88310227671549
180,Puente De Vallecas,2010,3,10.5775073391931
181,Retiro,2010,3,12.2739655263352
182,Salamanca,2010,3,14.6944908672693
183,San Blas,2010,3,10.8728187409996
184,Tetuan,2010,3,11.6797680384887
185,Usera,2010,3,10.3884303344521
186,Vicálvaro,2010,3,9.60973891874971
187,Villa De Vallecas,2010,3,9.6519332571622
188,Villaverde,2010,3,9.42287374525169
189,Arganzuela,2010,4,12.143122640144
190,Barajas,2010,4,10.7573802747341
191,Carabanchel,2010,4,10.3643270192593
192,Centro,2010,4,15.5646136338934
193,Chamartín,2010,4,13.6679113698069
194,Chamberí,2010,4,14.1725310512946
195,Ciudad Lineal,2010,4,11.1570041892936
196,Fuencarral,2010,4,10.5669676949908
197,Hortaleza,2010,4,11.6835282737539
198,Latina,2010,4,10.0578151967101
199,Moncloa,2010,4,13.014394589663
200,Moratalaz,2010,4,9.90141368016522
201,Puente De Vallecas,2010,4,10.5577343042319
202,Retiro,2010,4,12.3666622203071
203,Salamanca,2010,4,14.4505088716605
204,San Blas,2010,4,10.7948226161754
205,Tetuan,2010,4,11.846739053591
206,Usera,2010,4,10.4130572408664
207,Vicálvaro,2010,4,9.27925387566733
208,Villa De Vallecas,2010,4,9.64135828386377
209,Villaverde,2010,4,9.75010528030871
210,Arganzuela,2011,1,12.0647690065382
211,Barajas,2011,1,11.2439142700506
212,Carabanchel,2011,1,10.3415591589746
213,Centro,2011,1,15.0783334642861
214,Chamartín,2011,1,13.3981224101464
215,Chamberí,2011,1,14.1334893735953
216,Ciudad Lineal,2011,1,11.2766455004542
217,Fuencarral,2011,1,10.6425907983931
218,Hortaleza,2011,1,11.6963270107181
219,Latina,2011,1,9.83068307551164
220,Moncloa,2011,1,12.8180782604216
221,Moratalaz,2011,1,9.8323634419681
222,Puente De Vallecas,2011,1,10.6153455625195
223,Retiro,2011,1,12.7104138253473
224,Salamanca,2011,1,14.9369746932355
225,San Blas,2011,1,10.8301254820186
226,Tetuan,2011,1,11.7012061491781
227,Usera,2011,1,10.1582740082758
228,Vicálvaro,2011,1,9.53712109155263
229,Villa De Vallecas,2011,1,9.87036064061823
230,Villaverde,2011,1,9.49224915874403
231,Arganzuela,2011,2,12.1218809177668
232,Barajas,2011,2,11.1063805551633
233,Carabanchel,2011,2,10.1445161729597
234,Centro,2011,2,14.9270333315522
235,Chamartín,2011,2,13.5351410614635
236,Chamberí,2011,2,14.0995832293583
237,Ciudad Lineal,2011,2,11.5807590535267
238,Fuencarral,2011,2,10.8518924221738
239,Hortaleza,2011,2,11.8718923452033
240,Latina,2011,2,9.96303153181491
241,Moncloa,2011,2,13.1516117286308
242,Moratalaz,2011,2,9.54428911399073
243,Puente De Vallecas,2011,2,10.3701141501084
244,Retiro,2011,2,12.9087698348843
245,Salamanca,2011,2,14.8404090943709
246,San Blas,2011,2,10.8579858160179
247,Tetuan,2011,2,11.5544343172502
248,Usera,2011,2,9.96297497470866
249,Vicálvaro,2011,2,9.41478159950644
250,Villa De Vallecas,2011,2,9.55866007781277
251,Villaverde,2011,2,9.14956907603677
252,Arganzuela,2011,3,11.8403943821531
253,Barajas,2011,3,10.841084430822
254,Carabanchel,2011,3,9.92400756516392
255,Centro,2011,3,15.0182461190269
256,Chamartín,2011,3,13.5549985525866
257,Chamberí,2011,3,14.1395277999491
258,Ciudad Lineal,2011,3,11.4519932985088
259,Fuencarral,2011,3,10.9105605788011
260,Hortaleza,2011,3,12.0148890887837
261,Latina,2011,3,9.83145372214168
262,Moncloa,2011,3,13.2575129417197
263,Moratalaz,2011,3,9.42592208671518
264,Puente De Vallecas,2011,3,10.1766519814134
265,Retiro,2011,3,12.4782756229157
266,Salamanca,2011,3,14.8023319108138
267,San Blas,2011,3,10.8060637831965
268,Tetuan,2011,3,11.5735540767183
269,Usera,2011,3,10.1008006259337
270,Vicálvaro,2011,3,9.14818952477611
271,Villa De Vallecas,2011,3,9.67340368078341
272,Villaverde,2011,3,9.11272749989362
273,Arganzuela,2011,4,11.6579500383903
274,Barajas,2011,4,11.1379012835565
275,Carabanchel,2011,4,10.0723855685609
276,Centro,2011,4,15.0133643788755
277,Chamartín,2011,4,13.6184484542582
278,Chamberí,2011,4,13.9474161190311
279,Ciudad Lineal,2011,4,11.3537775257572
280,Fuencarral,2011,4,10.6869925203282
281,Hortaleza,2011,4,11.9536323622229
282,Latina,2011,4,9.81157695446492
283,Moncloa,2011,4,13.02690357692
284,Moratalaz,2011,4,9.49158567264086
285,Puente De Vallecas,2011,4,10.2952966562842
286,Retiro,2011,4,12.7019051632919
287,Salamanca,2011,4,14.855814855692
288,San Blas,2011,4,10.5929727721711
289,Tetuan,2011,4,11.2328320927906
290,Usera,2011,4,9.76055353493019
291,Vicálvaro,2011,4,9.08926195281564
292,Villa De Vallecas,2011,4,9.47852788167531
293,Villaverde,2011,4,9.21883099150658
294,Arganzuela,2012,1,11.5646904935239
295,Barajas,2012,1,10.8401585390873
296,Carabanchel,2012,1,9.88405686238305
297,Centro,2012,1,14.8223774438239
298,Chamartín,2012,1,13.4474562802434
299,Chamberí,2012,1,13.7064889675588
300,Ciudad Lineal,2012,1,11.2890326787914
301,Fuencarral,2012,1,10.4694807642389
302,Hortaleza,2012,1,11.8767988479152
303,Latina,2012,1,9.8281368522126
304,Moncloa,2012,1,12.5051923930877
305,Moratalaz,2012,1,9.27025777911021
306,Puente De Vallecas,2012,1,10.086220065326
307,Retiro,2012,1,12.6018912977752
308,Salamanca,2012,1,14.5979876362141
309,San Blas,2012,1,10.4620204645154
310,Tetuan,2012,1,11.3617507730166
311,Usera,2012,1,9.85421178400139
312,Vicálvaro,2012,1,9.2517242117644
313,Villa De Vallecas,2012,1,9.48080421484759
314,Villaverde,2012,1,9.0794178344555
315,Arganzuela,2012,2,11.5800394355778
316,Barajas,2012,2,10.9568123215525
317,Carabanchel,2012,2,9.84549968042338
318,Centro,2012,2,14.482733005987
319,Chamartín,2012,2,13.0600978577175
320,Chamberí,2012,2,13.7252969245201
321,Ciudad Lineal,2012,2,11.2075134803904
322,Fuencarral,2012,2,10.4986739320574
323,Hortaleza,2012,2,11.37863460791
324,Latina,2012,2,9.53806045672598
325,Moncloa,2012,2,12.3751920641433
326,Moratalaz,2012,2,9.20226325689136
327,Puente De Vallecas,2012,2,9.80730506024373
328,Retiro,2012,2,12.3638321116383
329,Salamanca,2012,2,14.2126965446497
330,San Blas,2012,2,10.388651202183
331,Tetuan,2012,2,11.2557272136627
332,Usera,2012,2,9.51626069876602
333,Vicálvaro,2012,2,8.89844492051179
334,Villa De Vallecas,2012,2,9.2293545299022
335,Villaverde,2012,2,9.24049307040604
336,Arganzuela,2012,3,11.5045891449654
337,Barajas,2012,3,10.4680555656831
338,Carabanchel,2012,3,9.60356401695737
339,Centro,2012,3,14.095542813787
340,Chamartín,2012,3,12.6963618108726
341,Chamberí,2012,3,13.9436088323438
342,Ciudad Lineal,2012,3,10.9573121932268
